Source,Target,Weight
(02000) cabecera autopista norte,(02001) centro comercial santa fe,409
(02000) cabecera autopista norte,(02101) toberin - foundever,2000
(02000) cabecera autopista norte,(02102) calle 161,559
(02000) cabecera autopista norte,(02103) mazurén,1064
(02000) cabecera autopista norte,(02104) calle 146,1219
(02000) cabecera autopista norte,(02105) calle 142,1245
(02000) cabecera autopista norte,(02200) alcalá – colegio s. tomás dominicos,2138
(02000) cabecera autopista norte,(02201) prado,1784
(02000) cabecera autopista norte,(02202) calle 127,3345
(02000) cabecera autopista norte,(02204) pepe sierra,1947
(02000) cabecera autopista norte,(02205) calle 106,2337
(02000) cabecera autopista norte,(02300) calle 100 - marketmedios,8438
(02000) cabecera autopista norte,(02302) virrey,2032
(02000) cabecera autopista norte,(02303) calle 85,2610
(02000) cabecera autopista norte,(02304) heroes - gel hada,2599
(02000) cabecera autopista norte,(02502) terminal,408
(02000) cabecera autopista norte,(03000) portal suba,962
(02000) cabecera autopista norte,(03001) la campiña,64
(02000) cabecera autopista norte,(03002) suba - tv- 91,371
(02000) cabecera autopista norte,(03003) 21 angeles,38
(02000) cabecera autopista norte,(03004) gratamira,16
(02000) cabecera autopista norte,(03005) suba - av. boyaca,115
(02000) cabecera autopista norte,(03006) niza - calle 127,234
(02000) cabecera autopista norte,(03007) humedal cordoba,76
(02000) cabecera autopista norte,(03009) av. suba- calle 116,355
(02000) cabecera autopista norte,(03010) puente largo,198
(02000) cabecera autopista norte,(03011) suba - calle 100,257
(02000) cabecera autopista norte,(03012) suba - calle 95,201
(02000) cabecera autopista norte,(03013) rio negro,199
(02000) cabecera autopista norte,(03014) san martin,16
(02000) cabecera autopista norte,(04000) cabecera calle 80,4717
(02000) cabecera autopista norte,(04001) quirigua,286
(02000) cabecera autopista norte,(04002) carrera 90,563
(02000) cabecera autopista norte,(04003) avenida ciudad de cali,703
(02000) cabecera autopista norte,(04004) la granja,478
(02000) cabecera autopista norte,(04100) carrera 77,568
(02000) cabecera autopista norte,(04101) minuto de dios,311
(02000) cabecera autopista norte,(04102) avenida boyaca,642
(02000) cabecera autopista norte,(04103) las ferias,197
(02000) cabecera autopista norte,(04104) avenida 68,860
(02000) cabecera autopista norte,(04105) carrera 53,691
(02000) cabecera autopista norte,(04106) carrera 47,325
(02000) cabecera autopista norte,(04107) escuela militar,82
(02000) cabecera autopista norte,(04108) el polo,383
(02000) cabecera autopista norte,(05000) portal américas,5197
(02000) cabecera autopista norte,(05002) tintal,1200
(02000) cabecera autopista norte,(05005) transversal 86,364
(02000) cabecera autopista norte,(05100) banderas p. central,2784
(02000) cabecera autopista norte,(05101) mandalay - cr.73,97
(02000) cabecera autopista norte,(05102) av. américas - av. boyacá,355
(02000) cabecera autopista norte,(05103) marsella,701
(02000) cabecera autopista norte,(05105) pradera – plaza central,1016
(02000) cabecera autopista norte,(05107) américas - cr.53,629
(02000) cabecera autopista norte,(06000) portal eldorado,923
(02000) cabecera autopista norte,(06001) modelia,317
(02000) cabecera autopista norte,(06002) normandía,221
